mountainPeak,mountainRange,elevationFeet,fourteener,latitude,longitude,standardRoute,distanceMiles,elevationGainFeet,difficulty,trafficLow,trafficHigh,photo,slug
South Boulder Peak,Front Range,8549,false,39.9539986,-105.2990859,Shadow Canyon Route,7.8,2995,Hard Class 2,0,0,https://sp-images.summitpost.org/51192.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=be5f5d7dac92dee95e1c30e617ca1c9c,south-boulder-peak
Mount Elbert,Sawatch Range,14440,true,39.1178,-106.4454,Northeast Ridge,9.5,4700,Class 1,20000,25000,https://www.14ers.com/photos/mtelbert/peakphotos/large/201207_Elbert01.jpg,mount-elbert
Mount Massive,Sawatch Range,14428,true,39.1875,-106.4757,East Slopes,14.5,4500,Class 2,7000,10000,https://www.14ers.com/photos/mtmassive/peakphotos/large/200508_Massive01.jpg,mount-massive
Mount Harvard,Sawatch Range,14421,true,38.9244,-106.3207,South Slopes,14,4600,Class 2,5000,7000,https://www.14ers.com/photos/harvardgroup/peakphotos/large/200706_Harv01.jpg,mount-harvard
Blanca Peak,Sangre de Cristo Range,14351,true,37.5775,-105.4856,Northwest Ridge,17,6500,Hard Class 2,1000,3000,https://www.14ers.com/photos/blancagroup/peakphotos/large/200607_Blanca01.jpg,blanca-peak
La Plata Peak,Sawatch Range,14343,true,39.0294,-106.4729,Northwest Ridge,9.25,4500,Class 2,5000,7000,https://www.14ers.com/photos/laplatapeak/peakphotos/large/201205_Lap01.jpg,la-plata-peak
Uncompahgre Peak,San Juan Mountains,14321,true,38.0717,-107.4621,South Ridge,7.5,3000,Class 2,3000,5000,https://www.14ers.com/photos/uncompahgrepeak/peakphotos/large/201710_Unco01.jpg,uncompahgre-peak
Crestone Peak,Sangre de Cristo Range,14300,true,37.9669,-105.5855,South Face,14,5700,Class 3,1000,3000,https://www.14ers.com/photos/crestonegroup/peakphotos/large/201607_Crestones01.jpg,crestone-peak
Mount Lincoln,Mosquito Range,14293,true,39.3515,-106.1116,West Ridge,6,2600,Class 2,15000,20000,https://www.14ers.com/photos/lincolngroup/peakphotos/large/200904_LinBro01.jpg,mount-lincoln
Castle Peak,Elk Mountains,14279,true,39.0097,-106.8614,Northeast Ridge,13.5,4600,Hard Class 2,1000,3000,https://www.14ers.com/photos/castlegroup/peakphotos/large/200807_Cast04.jpg,castle-peak
Grays Peak,Front Range,14278,true,39.6339,-105.8176,North Slopes,8,3000,Class 1,25000,30000,https://www.14ers.com/photos/graystorreys/peakphotos/large/201211_Grays01.jpg,grays-peak
Mount Antero,Sawatch Range,14276,true,38.6741,-106.2462,West Slopes,16,5200,Class 2,3000,5000,https://www.14ers.com/photos/mtantero/peakphotos/large/201205_Ant01.jpg,mount-antero
Torreys Peak,Front Range,14275,true,39.6428,-105.8212,South Slopes,8,3000,Class 2,25000,30000,https://www.14ers.com/photos/graystorreys/peakphotos/large/201004_Grays01.jpg,torreys-peak
Quandary Peak,Mosquito Range,14271,true,39.3973,-106.1064,East Ridge,6.75,3450,Class 1,20000,25000,https://www.14ers.com/photos/quandarypeak/peakphotos/large/200701_Quan02.jpg,quandary-peak
Mount Evans,Front Range,14271,true,39.5883,-105.6438,West Ridge via Mount Spalding,5,2000,Class 2,15000,20000,https://www.14ers.com/photos/evansgroup/peakphotos/large/200907_Evans01.jpg,mount-evans
Longs Peak,Front Range,14259,true,40.255,-105.6151,Keyhole Route,14.5,5100,Class 3,15000,20000,https://www.14ers.com/photos/longspeak/peakphotos/large/200508_Longs01.jpg,longs-peak
Mount Wilson,San Juan Mountains,14252,true,37.8391,-107.9916,North Slopes,16,5100,Class 4,1000,3000,https://www.14ers.com/photos/wilsongroup/peakphotos/large/200803_Wils01.jpg,mount-wilson
Mount Shavano,Sawatch Range,14231,true,38.6192,-106.2393,East Slopes,9,4600,Class 2,5000,7000,https://www.14ers.com/photos/shavanogroup/peakphotos/large/200804_Shav01.jpg,mount-shavano
